,question,example_answer,pred_answer,exact_matching,lm_evaluation
0,What state in the university of rockies which has the stegosaurus as an offical symbol located in?,"['Colorado', 'Centennial State', 'Colo', 'CO']",Colorado,True,True
1,Which country affected by Hurricane Irene has the largest army?,"['Dominican Republic', 'República Dominicana']",China,False,False
2,In which Countries is the Al Ahram Beverages Co. Stella beer brewed?,"['Israel', 'State of Israel', 'Libya', 'Sudan', 'North Sudan', 'Republic of the Sudan', 'Jumhūrīyat as-Sūdān']",Egypt,False,False
3,What college was attended by the most known alumnus of State elementary school Menteng 1?,"['Columbia University', 'Columbia University, New York City', 'Columbia U', 'Columbia', 'Columbia University, main campus', 'CU']",Harvard University,False,False
4,"Where did the subject of the image ""Matt Barnes Lakers"" play?","['Los Angeles Clippers', 'Clippersi', 'Lob City', 'San Diego Clippers', 'Los Angeles Lakers', 'Lakeshow', 'LA Lakers', 'Showtime', 'Lakers', 'The Lakers', 'Minneapolis Lakers']",Los Angeles Lakers,True,True
5,What form of government is used both in Spain and in the birthplace of AntÃ£o Martins Homem?,"['Monarchy', 'Kingdom']",Parliamentary monarchy,False,False
6,Who plays Adolph Rupp and is also the father of Angelina Jolie?,"['Jon Voight', 'Jonathan Vincent Voight', 'Jonathan Vincent ""Jon"" Voight', 'John Voight']",Jon Voight,True,True
7,What area speaks portugese and was once ruled by Philip III of Spain?,"['Portugal', 'Portuguese Republic']",Portugal,True,True
8,Which Chicago venues have a capacity greater than 2344?,"['Wrigley Field', 'Wrigley Field, Chicago', 'The Friendly Confines']",Unknown,False,False
9,What movie that is 100 minutes long did Nick Cannon star in?,"[""Love Don't Cost a Thing"", ""Can't Buy Me Love"", ""Love Don't Co$t a Thing"", 'If You Were My Girl']",100 minutes,False,False
10,The nation where Lopburi Province is located utilizes which type of currency?,['Thai baht'],baht,False,True
11,Where is Afrikaans spoken in the West Africa Time Zone?,['Namibia'],Nowhere.,False,False
12,On which continent did the Chihuahua breed originate?,['North America'],North America,True,True
13,"What recurring event that began before 2006 is great to visit the next time I'm in San Jose, CA?","['Cinequest Film Festival', 'CQFF', 'Cinequest International Film Festival', 'Cinequest San Jose Film Festival']",Christmas in the Park.,False,False
14,Which currency is used in the country whose official language is the Jamaican English?,['Jamaican dollar'],Jamaican dollar,True,True
15,Who was a member of the Democratic Party of Connecticut that became Connecticut's senator in 2010?,"['Joe Lieberman', 'Joseph I Lieberman', 'Sen. Joe Lieberman', 'Sen Joseph Lieberman', 'Senator Joe Leiberman', 'Joseph Isadore Lieberman', 'Senator Joseph Lieberman', 'Joseph I. Lieberman', 'Senator Joseph...",Richard Blumenthal,False,False
16,Manny Ramirez played for the now defunct sports team known as the Cleveland Naps as well as what other teams?,"['Cleveland Indians', 'Cleveland Bluebirds', 'Cleveland Blues', 'The Tribe', 'Cleveland Naps']","Boston Red Sox, Los Angeles Dodgers, Chicago White Sox",False,False
17,The location that appointed Beatrix of the Netherlands to governmental position uses what type of money?,['Aruban florin'],Euro,False,False
18,What is the type of government of both the Mali Empire and the Bahamas Government.?,"['Unitary state', 'Unitary republic', 'Unitary']",Monarchy,False,False
19,Which Australian States have the government position of Treasurer?,"['Victoria', 'State Of Victoria', 'Vic', 'Victoria, Australia', 'Victoria', 'State Of Victoria', 'Vic', 'Victoria, Australia', 'Victoria', 'State Of Victoria', 'Vic', 'Victoria, Australia', 'Queensland', 'QLD', 'State Of...",Varies by state.,False,False
20,Team owner Jim Irsay last won which Super Bowl?,['Super Bowl XLI'],New Orleans Saints,False,False
21,What basketball team with head coach Brian Shaw does Stan Kroenke own?,"['Denver Nuggets', 'Denver Larks', 'Denver Rockets', 'Nuggets']",None,False,False
22,What are the languages spoken in the governmental jursidiction where the 54th Brazilian National Congress was held?,"['Italian Language', 'Italiano', 'Italian', 'Brazilian Portuguese', 'Portuguese Language', 'Portuguese', 'Portugese', 'Portuguese language', 'Português']","English, Arabic",False,False
23,What location ruled by Hamad bin Khalifa Al Thani is Arabic used?,"['Qatar', 'Dawlat Qaṭar', 'State of Qatar']",Yes.,False,False
